tid,year
1336114633485266944,2020-12-08
1336148836495069185,2020-12-08
1336177638528983041,2020-12-08
1336322408970559495,2020-12-08
1336407510069161988,2020-12-08
1336666810742149120,2020-12-09
1336680713568071681,2020-12-09
1336680803682693126,2020-12-09
1336691515398250498,2020-12-09
1336730906107768842,2020-12-09
1336811823232921600,2020-12-09
1336844470994821126,2020-12-10
1336847458836631553,2020-12-10
1337040387349893121,2020-12-10
1337040883988959232,2020-12-10
1337041669368258565,2020-12-10
1337042201738612736,2020-12-10
1337043739915788292,2020-12-10
1337052585547755523,2020-12-10
1337220913528532992,2020-12-11
1337249882139136001,2020-12-11
1337256181866377216,2020-12-11
1337267413763624960,2020-12-11
1337421958158422017,2020-12-11
1337534034377920523,2020-12-11
1337541208831307776,2020-12-11
1337629305405321216,2020-12-12
1337629306919538694,2020-12-12
1337743516294934529,2020-12-12
1337745268591259648,2020-12-12
1337749020706549762,2020-12-12
1337790419875352576,2020-12-12
1338145849784872965,2020-12-13
1338246163368046593,2020-12-13
1338246164756520961,2020-12-13
1338247128578134018,2020-12-13
1338247150887702531,2020-12-13
1338254785666043908,2020-12-13
1338254787020787712,2020-12-13
1338254787675041802,2020-12-13
1338324103401529344,2020-12-14
1338347204440952832,2020-12-14
1338483200046354434,2020-12-14
1338493606148120579,2020-12-14
1338493640486907908,2020-12-14
1338574268154646528,2020-12-14
1338715842931023873,2020-12-15
1338718081443622912,2020-12-15
1338718436508241923,2020-12-15
1338718567605395457,2020-12-15
1338718643488743425,2020-12-15
1338851758819389441,2020-12-15
1338852676654821376,2020-12-15
1338853181363793920,2020-12-15
1338853393029279747,2020-12-15
1338871862315667456,2020-12-15
1338876692073426944,2020-12-15
1339013823282499584,2020-12-16
1339085251231031296,2020-12-16
1339090279429775363,2020-12-16
1339225465584840704,2020-12-16
1339275859841134594,2020-12-16
1339281950490697729,2020-12-16
1339284435456421892,2020-12-16
1339286784790966274,2020-12-16
1339453818996727809,2020-12-17
1339597489926590465,2020-12-17
1339759289234317312,2020-12-18
1339937091707351046,2020-12-18
