tid,year
1339186712535298053,2020-12-16
1339090613963198465,2020-12-16
1339090279429775363,2020-12-16
1339085251231031296,2020-12-16
1339084512404320257,2020-12-16
1339083004216532993,2020-12-16
1339071350900723713,2020-12-16
1339061769441075205,2020-12-16
1339014123867283456,2020-12-16
1339013823282499584,2020-12-16
1338876692073426944,2020-12-15
1338871862315667456,2020-12-15
1338853712303960064,2020-12-15
1338853420653047808,2020-12-15
1338853393029279747,2020-12-15
1338853181363793920,2020-12-15
1338852676654821376,2020-12-15
1338851758819389441,2020-12-15
1338724514109280257,2020-12-15
1338724447969288193,2020-12-15
1338718643488743425,2020-12-15
1338718567605395457,2020-12-15
1338718436508241923,2020-12-15
1338718081443622912,2020-12-15
1338715842931023873,2020-12-15
1338614514493878273,2020-12-14
1338614499981602819,2020-12-14
1338599297529556993,2020-12-14
1338574268154646528,2020-12-14
1338493640486907908,2020-12-14
1338493606148120579,2020-12-14
1338490171801661441,2020-12-14
1338483200046354434,2020-12-14
1338352220614635520,2020-12-14
1338351043181162497,2020-12-14
1338350937211949056,2020-12-14
1338348880182829061,2020-12-14
1338347204440952832,2020-12-14
1338327779956363265,2020-12-14
1338325735778476035,2020-12-14
1338324103401529344,2020-12-14
1338263195941818370,2020-12-13
1338254787675041802,2020-12-13
1338254787020787712,2020-12-13
1338254785666043908,2020-12-13
1338247150887702531,2020-12-13
1338247128578134018,2020-12-13
1338246404075118595,2020-12-13
1338246403164954629,2020-12-13
1338246164756520961,2020-12-13
1338246163368046593,2020-12-13
1338149139205550086,2020-12-13
1338145849784872965,2020-12-13
1338145479725633537,2020-12-13
1338139379777286144,2020-12-13
1337840500561367046,2020-12-12
1337833603309465600,2020-12-12
1337831620599033857,2020-12-12
1337821906897137664,2020-12-12
1337790419875352576,2020-12-12
1337774011376340992,2020-12-12
1337772511870799872,2020-12-12
1337755964339081216,2020-12-12
1337755490563010560,2020-12-12
1337754366569295874,2020-12-12
1337753159905767425,2020-12-12
1337752977545830402,2020-12-12
1337749020706549762,2020-12-12
1337745268591259648,2020-12-12
1337743516294934529,2020-12-12
1337743031823425536,2020-12-12
1337742192367071234,2020-12-12
1337736917484449792,2020-12-12
1337639981716807681,2020-12-12
1337634953211817984,2020-12-12
1337632918869569537,2020-12-12
1337629306919538694,2020-12-12
1337629305405321216,2020-12-12
1337620892139081728,2020-12-12
1337617459742969857,2020-12-12
1337617458962817028,2020-12-12
1337586206683574272,2020-12-12
1337541208831307776,2020-12-11
1337534034377920523,2020-12-11
1337526606445809665,2020-12-11
1337494507756072961,2020-12-11
1337494429221916674,2020-12-11
1337422198433329154,2020-12-11
1337421958158422017,2020-12-11
1337420100375339010,2020-12-11
1337400706551123969,2020-12-11
1337385736530780161,2020-12-11
1337379719872974852,2020-12-11
1337373146652020736,2020-12-11
1337372201662746625,2020-12-11
1337369403638362114,2020-12-11
1337363864565010435,2020-12-11
1337267413763624960,2020-12-11
1337267355949391872,2020-12-11
1337264489918554115,2020-12-11
1337256181866377216,2020-12-11
1337254921243136001,2020-12-11
1337249882139136001,2020-12-11
1337220913528532992,2020-12-11
1337202242290671617,2020-12-11
1337195587771510784,2020-12-11
1337195257776238592,2020-12-11
1337193947941249026,2020-12-11
1337191793461440513,2020-12-11
1337145843653226496,2020-12-10
1337131119632916481,2020-12-10
1337067127455539201,2020-12-10
1337067073051238400,2020-12-10
1337067019385057290,2020-12-10
1337062191598592002,2020-12-10
1337062099814674432,2020-12-10
1337062086724247555,2020-12-10
1337062011520356352,2020-12-10
1337061923058290688,2020-12-10
1337061852719837185,2020-12-10
1337052585547755523,2020-12-10
1337052226498539522,2020-12-10
1337043739915788292,2020-12-10
1337043282946297860,2020-12-10
1337042978557358083,2020-12-10
1337042714924380166,2020-12-10
1337042713544417282,2020-12-10
1337042201738612736,2020-12-10
1337041669368258565,2020-12-10
1337040883988959232,2020-12-10
1337040387349893121,2020-12-10
1337039171228151809,2020-12-10
1336847458836631553,2020-12-10
1336844470994821126,2020-12-10
1336811823232921600,2020-12-09
1336733602902659075,2020-12-09
1336730906107768842,2020-12-09
1336695746029121537,2020-12-09
1336691981981016066,2020-12-09
1336691515398250498,2020-12-09
