url,carbon_date,main_source,sources,age
www.srilankanmatrimony.com,2013-05-09 00:00:00,archive.md,['archive.md'],3484
www.statistics.gov.lk,error,error,error,error
www.stcmount.edu.lk,2013-07-30 00:00:00,web.archive.org,['web.archive.org'],3402
www.studyabroadguru.lk,2021-03-31 00:00:00,web.archive.org,['web.archive.org'],601
http://statistics.gov.lk,2000-03-04 00:00:00,web.archive.org,['web.archive.org'],8303
http://stcmount.edu.lk,2013-07-30 00:00:00,web.archive.org,['web.archive.org'],3407
http://studyabroadguru.lk,error,error,error,error
http://subz.lk,error,error,error,error
http://sundayobserver.lk,2001-04-03 00:00:00,web.archive.org,['web.archive.org'],7908
http://sundaytimes.lk,error,error,error,error
http://supplementfactory.lk,2013-11-12 00:00:00,web.archive.org,['web.archive.org'],3302
http://syzygy.lk,2021-04-29 00:00:00,web.archive.org,['web.archive.org'],577
http://tab.lk,2014-05-07 00:00:00,web.archive.org,['web.archive.org'],3126
http://tamilguru.lk,2022-01-29 00:00:00,web.archive.org,['web.archive.org'],302
http://tamilmirror.lk,2010-02-18 00:00:00,web.archive.org,['web.archive.org'],4665
http://tamilnet.com,1997-01-13 00:00:00,web.archive.org,['web.archive.org'],9449
http://tecroot.lk,2020-03-28 00:00:00,pubdate,['pubdate'],974
http://thamilan.lk,2011-10-07 00:00:00,web.archive.org,['web.archive.org'],4069
http://thegrand.lk,2016-07-05 00:00:00,web.archive.org,['web.archive.org'],2336
http://theleader.lk,2019-06-21 00:00:00,arquivo.pt,['arquivo.pt'],1255
http://themorning.lk,2018-05-20 00:00:00,web.archive.org,['web.archive.org'],1652
http://thinakkural.lk,2013-04-18 00:00:00,web.archive.org,['web.archive.org'],3510
http://timesjobs.lk,2010-09-24 00:00:00,web.archive.org,['web.archive.org'],4447
http://timesonline.lk,2008-04-14 00:00:00,web.archive.org,['web.archive.org'],5340
http://tisrilanka.org,2004-08-31 00:00:00,web.archive.org,['web.archive.org'],6662
http://toko.lk,2020-01-13 00:00:00,web.archive.org,['web.archive.org'],1049
http://topjobs.lk,2006-11-05 00:00:00,web.archive.org,['web.archive.org'],5866
http://transexpress.lk,2021-12-26 00:00:00,web.archive.org,['web.archive.org'],336
http://travelsrilanka.ch,2012-02-25 00:00:00,web.archive.org,['web.archive.org'],3928
http://treasury.gov.lk,2003-07-16 00:00:00,web.archive.org,['web.archive.org'],7074
http://trueceylon.lk,2016-04-11 00:00:00,web.archive.org,['web.archive.org'],2421
http://truenews.lk,2019-02-14 00:00:00,web.archive.org,['web.archive.org'],1382
http://trulysrilanka.com,2009-02-23 00:00:00,web.archive.org,['web.archive.org'],5025
http://trv.lk,2018-07-21 00:00:00,arquivo.pt,['arquivo.pt'],1590
http://tryaksh.lk,2017-05-06 00:00:00,web.archive.org,['web.archive.org'],2031
http://ttvnews.lk,error,error,error,error
http://tudo.lk,error,error,error,error
http://tulipcom.lk,error,error,error,error
http://tvslankadealerhub.com,error,error,error,error
http://tyrebass.lk,2020-08-04 00:00:00,web.archive.org,['web.archive.org'],845
http://tyreshoponline.lk,2020-08-05 00:00:00,web.archive.org,['web.archive.org'],844
http://ubuy.com.lk,2020-06-13 00:00:00,web.archive.org,['web.archive.org'],897
http://ugc.ac.lk,2001-11-19 00:00:00,web.archive.org,['web.archive.org'],7678
http://unhabitat.lk,2006-09-04 00:00:00,web.archive.org,['web.archive.org'],5928
http://uom.lk,2008-12-22 00:00:00,web.archive.org,['web.archive.org'],5088
http://upali.lk,1997-04-20 00:00:00,web.archive.org,['web.archive.org'],9352
http://updates.lk,2021-10-21 00:00:00,web.archive.org,['web.archive.org'],402
http://urlaub-sr-lanka.info,2011-06-19 00:00:00,web.archive.org,['web.archive.org'],4179
http://vinivida.lk,2014-02-24 00:00:00,web.archive.org,['web.archive.org'],3198
http://virakesari.lk,2002-03-26 00:00:00,web.archive.org,['web.archive.org'],7551
http://virgincareer.lk,2021-08-03 00:00:00,web.archive.org,['web.archive.org'],481
http://viswamcampus.edu.lk,2021-12-29 00:00:00,web.archive.org,['web.archive.org'],333
http://vitawell.lk,2015-12-21 00:00:00,web.archive.org,['web.archive.org'],2533
http://voguejewellers.lk,2018-04-09 00:00:00,web.archive.org,['web.archive.org'],1693
http://w3campus.lk,2021-01-16 00:00:00,web.archive.org,['web.archive.org'],680
http://wasi.lk,2013-06-15 00:00:00,web.archive.org,['web.archive.org'],3452
http://waterboard.lk,2003-04-30 00:00:00,web.archive.org,['web.archive.org'],7151
http://wealthtrust.lk,2013-01-20 00:00:00,web.archive.org,['web.archive.org'],3598
http://welendan.lk,2022-10-21 00:00:00,web.archive.org,['web.archive.org'],37
http://wht.lk,2012-12-09 00:00:00,web.archive.org,['web.archive.org'],3640
http://wijeyadigital.lk,2013-12-23 00:00:00,web.archive.org,['web.archive.org'],3261
http://wimalweerawansa.lk,2012-03-04 00:00:00,web.archive.org,['web.archive.org'],3920
http://windforce.lk,2015-09-29 00:00:00,web.archive.org,['web.archive.org'],2616
http://wineworld.lk,2013-05-09 00:00:00,web.archive.org,['web.archive.org'],3489
http://winsoft.lk,2009-10-24 00:00:00,web.archive.org,['web.archive.org'],4782
http://withanage.tripod.com,2001-02-02 00:00:00,web.archive.org,['web.archive.org'],7968
http://wobomart.lk,2021-12-02 00:00:00,web.archive.org,['web.archive.org'],360
http://wonderfulmom.lk,2018-12-12 00:00:00,web.archive.org,['web.archive.org'],1446
http://wsg.lk,error,error,error,error
http://wycherleygampaha.lk,error,error,error,error
http://xmobile.lk,2021-02-24 00:00:00,web.archive.org,['web.archive.org'],641
http://yesman.lk,2019-09-21 00:00:00,web.archive.org,['web.archive.org'],1163
http://yo.lk,2008-07-17 00:00:00,web.archive.org,['web.archive.org'],5246
http://zoom.lk,2011-01-04 00:00:00,archive.md,"['archive.md', 'web.archive.org']",4345
